"municipality","party","year","support"
88,4,2003,0.50475923852
88,4,2007,0.5154569514
88,4,2011,0.50234943479
89,8,1971,0.228063117425
89,3,1975,0.23173286774
89,1,1979,0.24558779539
89,1,1983,0.25858782193
89,4,1987,0.24232258957
89,4,1991,0.31046628106
89,4,1995,0.35737106344
89,4,1999,0.44612108869
89,4,2003,0.46638668157
89,4,2007,0.49978087261
89,4,2011,0.47804256955
90,4,1971,0.26499582923
90,4,1975,0.24100312094
90,4,1979,0.30688213987
90,4,1983,0.23331005587
90,4,1987,0.21871003496
90,4,1991,0.26834866631
90,4,1995,0.33315257778
90,4,1999,0.39608680299
90,4,2003,0.4174834395
90,4,2007,0.43791238579
90,4,2011,0.42303350679
91,4,1971,0.27268022181
91,4,1975,0.24981126896
91,4,1979,0.31476496169
91,4,1983,0.2788788222
91,4,1987,0.31245694604
91,4,1991,0.38680240532
91,4,1995,0.3318184501
91,4,1999,0.39405882063
91,4,2003,0.42010129235
91,4,2007,0.39102821233
91,4,2011,0.33296277581
92,3,1971,0.21272210084
92,3,1975,0.24384163132
92,3,1979,0.27695153533
92,3,1983,0.24329620088
92,4,1987,0.20411991647
92,4,1991,0.26981326765
92,4,1995,0.3214795226
92,4,1999,0.42715479403
92,4,2003,0.47033551555
92,4,2007,0.46648695701
92,4,2011,0.41905624593
93,4,1971,0.34582087203
93,4,1975,0.30048176187
93,4,1979,0.40524546066
93,4,1983,0.32215791198
93,4,1987,0.27081696779
93,4,1991,0.26011515104
93,4,1995,0.32644295302
93,4,1999,0.43410969196
93,4,2003,0.42750058562
93,4,2007,0.42049014188
93,4,2011,0.41196275448
94,4,1971,0.33356720457
94,4,1975,0.28464977645
94,4,1979,0.32844002602
94,4,1983,0.27604030359
94,4,1987,0.26197903669
94,4,1991,0.40966796875
94,4,1995,0.44852805605
94,4,1999,0.45249229461
94,4,2003,0.44085001423
94,4,2007,0.41902323305
94,4,2011,0.40615419128
95,4,1971,0.28149363972
95,1,1975,0.26263893869
95,1,1979,0.3608957795
95,1,1983,0.31292008962
95,4,1987,0.23096514745
95,4,1991,0.23764021604
95,3,1995,0.25098814229
95,4,1999,0.26646419437
95,3,2003,0.2516903313
95,4,2007,0.31072809278
95,4,2011,0.28920173731
96,8,1971,0.194605216697
96,3,1975,0.25221121836
96,3,1979,0.28616085263
96,3,1983,0.22750293931
96,4,1987,0.17697150659
96,4,1991,0.23305798143
96,4,1995,0.29463176526
96,4,1999,0.40866228719
96,4,2003,0.44022677817
96,4,2007,0.48194249509
96,4,2011,0.45666315695
97,8,1971,0.226571616105
97,3,1975,0.30438217196
97,3,1979,0.31887098312
97,3,1983,0.27696347032
97,4,1987,0.22178859774
97,4,1991,0.26723997723
97,4,1995,0.33858904785
97,4,1999,0.43557305259
97,4,2003,0.48785558437
97,4,2007,0.48394345638
97,4,2011,0.44108971022
98,4,1971,0.38226441306
98,4,1975,0.31778929188
98,4,1979,0.4181184669
98,4,1983,0.37392673154
98,4,1987,0.35613623018
98,4,1991,0.36493095512
98,4,1995,0.40990516333
98,4,1999,0.46899972444
98,4,2003,0.48430015966
98,4,2007,0.39832741437
98,4,2011,0.36563293235
99,4,1971,0.23916632274
99,4,1975,0.22109320252
99,4,1979,0.33001912046
99,1,1983,0.26638227278
99,1,1987,0.21812815386
99,4,1991,0.25184974388
99,4,1995,0.35355224932
99,4,1999,0.43834397995
99,4,2003,0.40591934887
99,4,2007,0.42850270595
99,4,2011,0.42903225806
100,4,1971,0.54230740095
100,4,1975,0.47719532554
